split,strategy,date,entry_time,exit_time,entry_datetime,exit_datetime,entry_price,exit_price,direction,pnl_points,pnl_hkd,holding_bars,exit_reason,strategy_at_entry,regime_at_entry
train,LONG_OR_FLAT_FILTERED,20180824,132100,162900,2018-08-24 13:21:00,2018-08-24 16:29:00,27636.0,27591.0,1,-47.0,-2350.0,188,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180827,110100,162900,2018-08-27 11:01:00,2018-08-27 16:29:00,28163.0,28234.0,1,69.0,3450.0,268,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180829,154100,162900,2018-08-29 15:41:00,2018-08-29 16:29:00,28391.0,28344.0,1,-49.0,-2450.0,48,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180831,115400,162900,2018-08-31 11:54:00,2018-08-31 16:29:00,27843.0,27776.0,1,-69.0,-3450.0,215,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180904,132100,162900,2018-09-04 13:21:00,2018-09-04 16:29:00,27758.0,27866.0,1,106.0,5300.0,188,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180906,162900,162900,2018-09-06 16:29:00,2018-09-06 16:29:00,26987.0,26980.0,1,-9.0,-450.0,0,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180907,101800,104400,2018-09-07 10:18:00,2018-09-07 10:44:00,27047.0,26875.0,1,-174.0,-8700.0,26,stop_loss,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180912,162000,162900,2018-09-12 16:20:00,2018-09-12 16:29:00,26387.0,26356.0,1,-33.0,-1650.0,9,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180913,140600,162900,2018-09-13 14:06:00,2018-09-13 16:29:00,26765.0,26972.0,1,205.0,10250.0,143,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180917,141300,162900,2018-09-17 14:13:00,2018-09-17 16:29:00,26926.0,26900.0,1,-28.0,-1400.0,136,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180918,135900,162900,2018-09-18 13:59:00,2018-09-18 16:29:00,26824.0,27053.0,1,227.0,11350.0,150,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180919,103100,162900,2018-09-19 10:31:00,2018-09-19 16:29:00,27330.0,27403.0,1,71.0,3550.0,298,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180921,111900,162900,2018-09-21 11:19:00,2018-09-21 16:29:00,27758.0,27921.0,1,161.0,8050.0,250,session_end,LONG_FILTERED,TREND
